"MovieID","numRatings","avgRating","Title","Genres","image_url","Action","Adventure","Animation","Children.s","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Western","MRS1","MRS2"
1,2077,4.14684641309581,"Toy Story (1995)","Animation|Children's|Comedy","https://liangfgithub.github.io/MovieImages/1.jpg?raw=true",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211.846846,9.11779333673371
2,701,3.20114122681883,"Jumanji (1995)","Adventure|Children's|Fantasy","https://liangfgithub.github.io/MovieImages/2.jpg?raw=true",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.301141,7.03047514981487
3,478,3.01673640167364,"Grumpier Old Men (1995)","Comedy|Romance","https://liangfgithub.github.io/MovieImages/3.jpg?raw=true",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50.816736,6.6201994524207
4,170,2.72941176470588,"Waiting to Exhale (1995)","Comedy|Drama","https://liangfgithub.github.io/MovieImages/4.jpg?raw=true",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19.729412,5.9626173364486
5,296,3.00675675675676,"Father of the Bride Part II (1995)","Comedy","https://liangfgithub.github.io/MovieImages/5.jpg?raw=true",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.606757,6.58815665679677
6,940,3.87872340425532,"Heat (1995)","Action|Crime|Thriller","https://liangfgithub.github.io/MovieImages/6.jpg?raw=true",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,97.878723,8.52231105397365
7,458,3.41048034934498,"Sabrina (1995)","Comedy|Romance","https://liangfgithub.github.io/MovieImages/7.jpg?raw=true",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,49.21048,7.4834487108014
8,68,3.01470588235294,"Tom and Huck (1995)","Adventure|Children's","https://liangfgithub.github.io/MovieImages/8.jpg?raw=true",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.814706,6.51734129479769
9,102,2.65686274509804,"Sudden Death (1995)","Action","https://liangfgithub.github.io/MovieImages/9.jpg?raw=true",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.856863,5.7771323372093
10,888,3.54054054054054,"GoldenEye (1995)","Action|Adventure|Thriller","https://liangfgithub.github.io/MovieImages/10.jpg?raw=true",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92.340541,7.77867847233468
11,1033,3.79380445304937,"American President, The (1995)","Comedy|Drama|Romance","https://liangfgithub.github.io/MovieImages/11.jpg?raw=true",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,107.093804,8.33668436511313
12,160,2.3625,"Dracula: Dead and Loving It (1995)","Comedy|Horror","https://liangfgithub.github.io/MovieImages/12.jpg?raw=true",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18.3625,5.15880893300248
13,99,3.26262626262626,"Balto (1995)","Animation|Children's","https://liangfgithub.github.io/MovieImages/13.jpg?raw=true",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.162626,7.09181579640719
14,153,3.54248366013072,"Nixon (1995)","Drama","https://liangfgithub.github.io/MovieImages/14.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.842484,7.73281526848249
15,146,2.45890410958904,"Cutthroat Island (1995)","Action|Adventure|Romance","https://liangfgithub.github.io/MovieImages/15.jpg?raw=true",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.058904,5.36548889130435
16,682,3.79325513196481,"Casino (1995)","Drama|Thriller","https://liangfgithub.github.io/MovieImages/16.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71.993255,8.33050322306792
17,835,4.02754491017964,"Sense and Sensibility (1995)","Drama|Romance","https://liangfgithub.github.io/MovieImages/17.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,87.527545,8.84788347883281
18,157,3.3375796178344,"Four Rooms (1995)","Thriller","https://liangfgithub.github.io/MovieImages/18.jpg?raw=true",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.03758,7.2869793426043
19,389,2.48071979434447,"Ace Ventura: When Nature Calls (1995)","Comedy","https://liangfgithub.github.io/MovieImages/19.jpg?raw=true",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.38072,5.44080004100461
20,160,2.5375,"Money Train (1995)","Action","https://liangfgithub.github.io/MovieImages/20.jpg?raw=true",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5375,5.5409429280397
21,1356,3.62389380530973,"Get Shorty (1995)","Action|Comedy|Drama","https://liangfgithub.github.io/MovieImages/21.jpg?raw=true",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,139.223894,7.96551766931919
22,378,3.34920634920635,"Copycat (1995)","Crime|Drama|Thriller","https://liangfgithub.github.io/MovieImages/22.jpg?raw=true",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,41.149206,7.34493594303798
23,126,2.85714285714286,"Assassins (1995)","Thriller","https://liangfgithub.github.io/MovieImages/23.jpg?raw=true",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.457143,6.22641540566038
24,624,3.17948717948718,"Powder (1995)","Drama|Sci-Fi","https://liangfgithub.github.io/MovieImages/24.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,65.579487,6.98144554318618
25,980,3.65102040816327,"Leaving Las Vegas (1995)","Drama|Romance","https://liangfgithub.github.io/MovieImages/25.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,101.65102,8.02242062780269
26,100,3.53,"Othello (1995)","Drama","https://liangfgithub.github.io/MovieImages/26.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.53,7.67391304347826
27,61,2.9344262295082,"Now and Then (1995)","Drama","https://liangfgithub.github.io/MovieImages/27.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.034426,6.33118921543408
28,179,4.05586592178771,"Persuasion (1995)","Romance","https://liangfgithub.github.io/MovieImages/28.jpg?raw=true",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.955866,8.86348518756937
29,403,4.06203473945409,"City of Lost Children, The (1995)","Adventure|Sci-Fi","https://liangfgithub.github.io/MovieImages/29.jpg?raw=true",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.362035,8.90994614299852
30,74,3.64864864864865,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Drama","https://liangfgithub.github.io/MovieImages/30.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.048649,7.89893693085106
31,141,3.11347517730496,"Dangerous Minds (1995)","Drama","https://liangfgithub.github.io/MovieImages/31.jpg?raw=true",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.213475,6.7918420886076
